Video ID,Playlist Video Creation Timestamp
v2J3-cWvZ-c,2017-12-07T13:07:30+00:00
cT8PpGhXRE8,2018-12-27T13:51:59+00:00
87EjoykEfyU,2019-12-17T14:35:10+00:00
Ea8olem9_D4,2020-01-18T05:42:56+00:00
eG1VnwQH45I,2020-02-09T14:50:30+00:00
6falN9Y-xKE,2020-02-24T11:00:01+00:00
6Q7uH6aLzQQ,2020-02-25T10:56:00+00:00
vN6-Hy7pbT4,2020-04-29T14:28:14+00:00
8y8zEzk9-A8,2020-06-06T23:07:35+00:00
d-eiWMKXJk8,2020-07-09T09:48:19+00:00
10yY5Tg85gs,2020-08-12T15:31:03+00:00
msJyM-2pUN8,2020-09-09T07:59:01+00:00
_UT4dGnvhz0,2020-12-05T07:12:16+00:00
9D_U2F0xtCc,2021-02-11T00:39:05+00:00
 -hGPfNK6Gng,2021-02-15T02:12:04+00:00
gHxuzWjGNGE,2021-05-16T11:58:26+00:00
p_9t8uhXQdk,2022-11-14T22:48:05+00:00
OVG8YISG_cM,2022-11-20T22:08:09+00:00
ZbsaolEfszM,2022-11-23T17:29:19+00:00
hj3oQU1z4P0,2023-04-26T01:14:34+00:00
5vkJFIuxz9A,2023-07-15T13:49:03+00:00





