,categoryName,watchTimes1,categoryName,watchTime_min,categoryRatio,channelTitle,watchTimes2,channelLink,language,lanCounts
0,Music,8.0,Music,8.4,0.91,kaeli mae,235,https://www.youtube.com/channel/UCH7CLiz2r0Kwh4bLxgMae7w,en,3.0
1,People & Blogs,4.0,People & Blogs,0.48,0.05,Mitraz - Topic,167,https://www.youtube.com/channel/UCroOD1yPBDSEqFLejRB-Gbw,,
2,Howto & Style,2.0,Howto & Style,0.39,0.04,Sony SAB,156,https://www.youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw,,
3,,,Film & Animation,0.0,0.00,팀일루션 노성율 - TEAM1LLUSION,148,https://www.youtube.com/channel/UCtctOXlHYeQyuXSgW861nMA,,
4,,,Action / Adventure,0.0,0.00,Raunaq Rajani,143,https://www.youtube.com/channel/UC6E6CgKiRlUxwmEW1Sd9_vQ,,
5,,,Classics,0.0,0.00,Kripa Patel Joshi,120,https://www.youtube.com/channel/UCLYKw5TCfErfydtG8ApMTAw,,
6,,,Documentary,0.0,0.00,Maddie White,120,https://www.youtube.com/channel/UCOOlawtxwYTq1MZ0Umoy6fA,,
7,,,Drama,0.0,0.00,Brut India,112,https://www.youtube.com/channel/UCCgQaXjsJ6EdFPZeTFQoSyw,,
8,,,Family,0.0,0.00,T-Series,105,https://www.youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,,
9,,,Foreign,0.0,0.00,Anjali Tatrari Official,104,https://www.youtube.com/channel/UC1xNzG6nYQxLWXB1ke-qDHg,,
10,,,Movies,0.0,0.00,Hey Great Nails,102,https://www.youtube.com/channel/UCX6zhxdq6tkdQee-29d_Tnw,,
11,,,Horror,0.0,0.00,Alanna &amp; Ivor,98,https://www.youtube.com/channel/UChUJbP5pivwW9wuJecKAADg,,
12,,,Sci - Fi / Fantasy,0.0,0.00,Ms Shi and Mr He,91,https://www.youtube.com/channel/UCDDrB-yGonf4uL2NDf6njTA,,
13,,,Thriller,0.0,0.00,Victoria,87,https://www.youtube.com/channel/UCb4aFIfcJZY8y2T2MkKD2eg,,
14,,,Shorts,0.0,0.00,Brooke’s Buys,85,https://www.youtube.com/channel/UCJE5sRwOgsoCYEmKptJW6tQ,,
15,,,Shows,0.0,0.00,Tyla,77,https://www.youtube.com/channel/UC0MH-jgBXiRDyZEpUpzzj7A,,
16,,,Anime / Animation,0.0,0.00,SET India,70,https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,,
17,,,Science & Technology,0.0,0.00,Melissa Metrano,67,https://www.youtube.com/channel/UCP1N9j-Jl890PHJjD3VnhLg,,
18,,,Nonprofits & Activism,0.0,0.00,Vinit Kumar [ IIT BOMBAY ],66,https://www.youtube.com/channel/UCU7uYuJdUMzO4WwrCChwmSQ,,
19,,,Autos & Vehicles,0.0,0.00,Tirth Parsana,66,https://www.youtube.com/channel/UC8E-imQtL83ecdbg8_Pe2lQ,,
20,,,Education,0.0,0.00,Release - Topic,65,https://www.youtube.com/channel/UCK1JaNj_PUDCSeVAv71v0Pg,,
21,,,News & Politics,0.0,0.00,Dojas Vault,64,https://www.youtube.com/channel/UCRJPU0RSAJMi0U9UasUD_KQ,,
22,,,Entertainment,0.0,0.00,Alexis Jacobo,63,https://www.youtube.com/channel/UCjHKIzvzdOfEuy1w8LWxC4A,,
23,,,Comedy,0.0,0.00,zoom,61,https://www.youtube.com/channel/UCotI-SqRXnkAZX4bMqlRNjw,,
24,,,Videoblogging,0.0,0.00,HappyDownloads,60,https://www.youtube.com/channel/UCggKidH56IZIGQ8SppxYn-Q,,
25,,,Gaming,0.0,0.00,Sweet Impact,59,https://www.youtube.com/channel/UCgfhQINbR-4w1tKhwyrhCzA,,
26,,,Travel & Events,0.0,0.00,Haley Kalil,58,https://www.youtube.com/channel/UCKX8qlNu2v4m0bCkhd7jicA,,
27,,,Short Movies,0.0,0.00,Meghna Verghese,58,https://www.youtube.com/channel/UCRlx0NpAhTYTK9HDPAhR3jA,,
28,,,Sports,0.0,0.00,Bollywoodlogy,56,https://www.youtube.com/channel/UCdy-zjzs7Brw6LHBqF94rKA,,
29,,,Pets & Animals,0.0,0.00,Anvi Shetty Dance,56,https://www.youtube.com/channel/UC0Sk9XfiBCALfsZ9AM-iFCw,,
30,,,Trailers,0.0,0.00,A.R. Rahman - Topic,53,https://www.youtube.com/channel/UCtJe0RYzgPddQXKtWduxz_w,,
31,,,,,,Shehzaan Khan,53,https://www.youtube.com/channel/UCT8uba8_YxDtAamOgZqWPTg,,
32,,,,,,zara 🤍,52,https://www.youtube.com/channel/UCchh-EW4A3X6b6H_kTKm6FA,,
33,,,,,,Bollywood Hungama,52,https://www.youtube.com/channel/UCzR7770PbrKcG9OYGzBep9w,,
34,,,,,,Quantum ML,52,https://www.youtube.com/channel/UCVROlDxzfRrlRexJvvCuQeg,,
35,,,,,,Savannah Moroder,52,https://www.youtube.com/channel/UCQWEsFHEYXExYewHWySFeWQ,,
36,,,,,,LE SSERAFIM,52,https://www.youtube.com/channel/UCs-QBT4qkj_YiQw1ZntDO3g,,
37,,,,,,hnh 🎀,51,https://www.youtube.com/channel/UC8o9OGdiIG-Gh2hujz_lmOw,,
38,,,,,,Netflix India Shorts,50,https://www.youtube.com/channel/UCim0ZIz8SAQGPvg4mJHG3JA,,
39,,,,,,OG Slimes,50,https://www.youtube.com/channel/UC-VwVrt68eET2VyRFoVC-Sg,,
40,,,,,,MITRAZ,49,https://www.youtube.com/channel/UCewyFby3pwB31EPE1PpCT1Q,,
41,,,,,,Kriti Sanon,48,https://www.youtube.com/channel/UCvoBYKyBDVXrBHH2aF5cLVA,,
42,,,,,,Vogue,48,https://www.youtube.com/channel/UCRXiA3h1no_PFkb1JCP0yMA,,
43,,,,,,Maisy Leigh,47,https://www.youtube.com/channel/UC_h-Jl4Zxb7p-sSBTxprs4Q,,
44,,,,,,Agam Aggarwal - Topic,47,https://www.youtube.com/channel/UCvThgbJWWoUNrGqjba97Oog,,
45,,,,,,Piyush Gurbhele,46,https://www.youtube.com/channel/UClMPmpL9X9-Qe5FjU0mT0sw,,
46,,,,,,Sheri Bakes,46,https://www.youtube.com/channel/UCAd97TRCI_M2Qyol1p4Mp9Q,,
47,,,,,,Aayusha Simkhada,46,https://www.youtube.com/channel/UC0PFIBph_tt57d4X8QkkDwQ,,
48,,,,,,E! News,46,https://www.youtube.com/channel/UCjDsbbzHgTrGc4Ff26TJtsA,,
49,,,,,,Makeup by Parul Garg,46,https://www.youtube.com/channel/UCHwQ2fiRDyd7hikKan5s4Sg,,
50,,,,,,Miyaeva Renae ,44,https://www.youtube.com/channel/UCuXExzD_2OjwV0McmcIxYvw,,
51,,,,,,Tia Bhuva,43,https://www.youtube.com/channel/UC8tJSa93_i3p_ZRB1UyUolA,,
52,,,,,,Julianna Claire,43,https://www.youtube.com/channel/UCTKJREAH1cMVGpoKjE-MEbw,,
53,,,,,,it&#39;s Sakura,42,https://www.youtube.com/channel/UCkzuJiSK8xlbOD1ZBMcRZ9w,,
54,,,,,,Doja Cat - Topic,41,https://www.youtube.com/channel/UCwgX_dLqGYna_7Fm8ecf4Ng,,
55,,,,,,NickandCarrie,39,https://www.youtube.com/channel/UCR1Jltq7vMzGQVtRd-DR5AA,,
56,,,,,,Phil Hanley,39,https://www.youtube.com/channel/UC-r4Tg3nBRALtxJn12fFP_Q,,
57,,,,,,Arijit Singh - Topic,39,https://www.youtube.com/channel/UCDxKh1gFWeYsqePvgVzmPoQ,,
58,,,,,,Butter BTS k-pop,38,https://www.youtube.com/channel/UCdaOQD569stbML_plw5QpgA,,
59,,,,,,Sakshma Srivastav,38,https://www.youtube.com/channel/UC0fGTLLYISv2VPu_w68ny2Q,,
60,,,,,,Aastha Shah,37,https://www.youtube.com/channel/UC2RsokpnVLqUcEoohsXe6xQ,,
61,,,,,,Mason Smith,37,https://www.youtube.com/channel/UCLU_1CPWRBBu5H6xZoSomlQ,,
62,,,,,,Chintamani Diana,36,https://www.youtube.com/channel/UCmkHCjx4zO7_KgcwZKsJRcA,,
63,,,,,,Sanju Rathod SR,36,https://www.youtube.com/channel/UC5Sx4un-pScLvw6chDOkCGw,,
64,,,,,,Samapti Banerjee,36,https://www.youtube.com/channel/UCfGCPkRVQ96abMaDyjN-YSg,,
65,,,,,,Neeraj Shridhar - Topic,36,https://www.youtube.com/channel/UCjK4uCLdPYnIatZFB9Nvbrg,,
66,,,,,,BeerBiceps,36,https://www.youtube.com/channel/UCPxMZIFE856tbTfdkdjzTSQ,,
67,,,,,,Hey It&#39;s Honeysuckle,36,https://www.youtube.com/channel/UC6ILA0ufdGI_RxNIj2-aSFw,,
68,,,,,,Pritam - Topic,35,https://www.youtube.com/channel/UCCTN01plFzn4npREHKT2_9Q,,
69,,,,,,Gayatri Sisodiya,35,https://www.youtube.com/channel/UCN0YIb7DayRAFnDkA6SY5TA,,
70,,,,,,Andy and Michelle,35,https://www.youtube.com/channel/UCYI6_UU0Sr2wI9P6cr7Unow,,
71,,,,,,Kristyn Cole,34,https://www.youtube.com/channel/UCW0LpxPa6cF-xj6x6B1WNZA,,
72,,,,,,Sungjemish Sungjemish,34,https://www.youtube.com/channel/UCsK_mNUEyhoqQKAijTblG7A,,
