,title,publishedAt,categoryId,duration,licensedContent,viewCount,likeCount,commentCount,defaultAudioLanguage
0,Gulabi Sadi,2024-02-05 10:04:57,10,0:3:44,True,4021411,68442,704,N/A
1,Samjho Na,2022-02-09 16:16:39,10,0:2:53,True,7510363,72365,398,N/A
2,Ek Vari,2021-08-13 10:09:11,10,0:3:7,True,444586,5610,13,N/A
3,Mehroom,2021-06-15 15:23:33,10,0:3:6,True,284550,2597,40,N/A
4,Kho Gaye,2022-09-29 10:05:45,10,0:3:18,True,9670795,70794,0,N/A
5,Tum Ho Lofi Mix (Remix By Dj Yogii),2022-02-11 11:08:59,10,0:3:10,True,269010,1408,3,N/A
6,Jump,2024-03-21 10:01:51,10,0:2:28,True,1769673,42361,244,N/A
7,Espresso,2024-04-12 00:00:14,10,0:2:56,True,4470591,92227,642,N/A
8,What did I get myself into?🤘would you eat one?!😝 #cake #isitcake #shorts #art #chocolate #realistic,2024-04-15 20:47:58,26,0:1:1,True,3422763,233495,627,en
9,When you have a dumb gf💀 #shorts #ytshorts #viral #trending #funny #comedy,2024-04-17 11:37:20,22,0:0:20,True,110989,7598,108,en
10,SIBLING WAR ⚡️⚡️ #relatablecontent,2024-04-19 05:55:25,22,0:0:17,True,2422192,87401,409,N/A
11,Glass tint balm #shorts,2024-04-17 14:26:26,26,0:0:8,True,43354,1666,13,en
12,A must have experience if you visit Jaipur.❤️✨🤍🪞🕊️  #jaipur #rajasthan #explorepage #explore,2024-04-08 10:20:26,22,0:0:16,False,8039767,347531,717,N/A
13,and then I got overwhelmed when I saw the total and put everything back 🥲🛍️😂 #shopwithme #sephora,2024-03-17 20:27:05,22,0:0:32,True,771090,47614,228,N/A
