,categoryName1,watchTimes1,categoryName,watchTime_min,categoryRatio,channelTitle,watchTimes2,channelLink,language,lanCounts
0,People & Blogs,134,People & Blogs,13.4,0.32,Gate Smashers,137,https://www.youtube.com/channel/UCJihyK0A38SZ6SdJirEdIOw,hindi,183
1,Music,114,Music,11.4,0.27,yatri doctor,88,https://www.youtube.com/channel/UCoxPghkIDTPxtgZV4Zx8tMw,english,126
2,Entertainment,78,Entertainment,7.8,0.19,T-Series,64,https://www.youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,,
3,Education,56,Education,5.6,0.13,Dhruv Rathee,48,https://www.youtube.com/channel/UC-CSyyi47VX1lD9zyeABW3w,,
4,Sports,32,Sports,3.2,0.09,YRF,44,https://www.youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA,,
5,,,,,,SonyMusicIndiaVEVO,43,https://www.youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ,,
6,,,,,,Sarthak Goswami,41,https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA,,
7,,,,,,HowAboutBeirut,35,https://www.youtube.com/channel/UChhGJONwU_9ODfq5oy1dUaQ,,
8,,,,,,Zee Music Company,30,https://www.youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,,
9,,,,,,Passenger Paramvir,27,https://www.youtube.com/channel/UCK2_PiPOB0VEZfbbaHj-z5w,,
10,,,,,,Movieclips,25,https://www.youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,,
11,,,,,,Sony Music India,23,https://www.youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg,,
12,,,,,,World Affairs by Unacademy,22,https://www.youtube.com/channel/UCCJsQKOKArvDksacfT2ryQw,,
13,,,,,,SuperHit Gaane,19,https://www.youtube.com/channel/UCfkRsx0z8reL_MOqEoEqj9Q,,
14,,,,,,cricket.com.au,18,https://www.youtube.com/channel/UCkBY0aHJP9BwjZLDYxAQrKg,,
15,,,,,,Daily Dose Of Internet,17,https://www.youtube.com/channel/UCdC0An4ZPNr_YiFiYoVbwaw,,
16,,,,,,ICC,16,https://www.youtube.com/channel/UCt2JXOLNxqry7B_4rRZME3Q,,
17,,,,,,Khan GS Research Centre,15,https://www.youtube.com/channel/UCatL-c6pmnjzEOHSyjn-sHA,,
18,,,,,,England &amp; Wales Cricket Board,15,https://www.youtube.com/channel/UCz1D0n02BR3t51KuBOPmfTQ,,
19,,,,,,CodeHelp - by Babbar,15,https://www.youtube.com/channel/UCldyi11QYNXYXiLjVbyw5dA,,
20,,,,,,Dhruv Rathee Vlogs,14,https://www.youtube.com/channel/UCjNgqJ_FMLntYVzq7daw1TQ,,
21,,,,,,T-Series Bhakti Sagar,13,https://www.youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g,,
22,,,,,,Monkey Magic,12,https://www.youtube.com/channel/UCbuj4kbjP05NLiWUbpSuBPw,,
23,,,,,,Zem TV,12,https://www.youtube.com/channel/UCs_ineLBnNTGjrArNzjSLZg,,
24,,,,,,Gaurav Kapoor,11,https://www.youtube.com/channel/UCeP5_FL11TnvXuvrFvALJyA,,
25,,,,,,Rajshri,11,https://www.youtube.com/channel/UCEKWXRsfUHkan-D_ljU8Asw,,
26,,,,,,Rajat chauhan,11,https://www.youtube.com/channel/UCxMDGaw3tMLHdH-ZUU4173A,,
27,,,,,,Jaspreet Singh,11,https://www.youtube.com/channel/UCmQCEVKEYpKxG8NwXnfIbCw,,
28,,,,,,SR PAY STORIES,11,https://www.youtube.com/channel/UCPGNioeYrJq4nyAt-DVIHZg,,
29,,,,,,Slayy Point,10,https://www.youtube.com/channel/UCtgGOdTlM-NdJ9rPKIYN8UQ,,
30,,,,,,take U forward,10,https://www.youtube.com/channel/UCJskGeByzRRSvmOyZOz61ig,,
31,,,,,,Technical Guruji,10,https://www.youtube.com/channel/UCOhHO2ICt0ti9KAh-QHvttQ,,
32,,,,,,Lord Huron,10,https://www.youtube.com/channel/UC48UiYdP4S_QuKZXSBcwawg,,
33,,,,,,Zach King Compilations,10,https://www.youtube.com/channel/UCiJUp_NBW2D_UMQIvq2nlPg,,
34,,,,,,The Tech Brothers,9,https://www.youtube.com/channel/UCzvRaprYPhvAplMK36Gu0kw,,
35,,,,,,@Khan Sir Patna,9,https://www.youtube.com/channel/UCL77mMHDQV_D2DixeqD1Tyg,,
36,,,,,,Sunday Bharat Vlogs,9,https://www.youtube.com/channel/UCIIltf5lw6Wx54TZCNa5gwg,,
37,,,,,,TaylorSwiftVEVO,8,https://www.youtube.com/channel/UCANLZYMidaCbLQFWXBC95Jg,,
38,,,,,,Apna College,8,https://www.youtube.com/channel/UCBwmMxybNva6P_5VmxjzwqA,,
39,,,,,,CarryMinati,8,https://www.youtube.com/channel/UCj22tfcQrWG7EMEKS0qLeEg,,
40,,,,,,Retro Hit Songs,8,https://www.youtube.com/channel/UC9sSpiRDz2T4EdaKLbB9VjQ,,
41,,,,,,Saregama Music,7,https://www.youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q,,
42,,,,,,Electronics Insight,7,https://www.youtube.com/channel/UCwx4ggqs96Q_ufsvKZd3T9Q,,
43,,,,,,Priyanshu Bharadwa,7,https://www.youtube.com/channel/UCQAhysX0EDrBMN2aGJIeHGg,,
44,,,,,,Safarnama with Meraj,7,https://www.youtube.com/channel/UCLLeXggszHOmiqyKTYwOp2Q,,
45,,,,,,SET India,7,https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,,
46,,,,,,Lesics,7,https://www.youtube.com/channel/UCqZQJ4600a9wIfMPbYc60OQ,,
47,,,,,,Andrew Foy 앤디,7,https://www.youtube.com/channel/UCuNVQeVXwfwxVUKdrCQgk3A,,
48,,,,,,Goldmines Gaane Sune Ansune,7,https://www.youtube.com/channel/UCtW7qWjpCZ8zps-Cf2NF26w,,
49,,,,,,ThatWasEpic,7,https://www.youtube.com/channel/UCSrnmu3W6YXWU_85DKT5arg,,
50,,,,,,shiey,6,https://www.youtube.com/channel/UCpXwMqnXfJzazKS5fJ8nrVw,,
51,,,,,,Village Cooking Channel,6,https://www.youtube.com/channel/UCk3JZr7eS3pg5AGEvBdEvFg,,
52,,,,,,harisego,6,https://www.youtube.com/channel/UCQ66z_au9-ufIbybuqexxKw,,
53,,,,,,Zach King,6,https://www.youtube.com/channel/UCq8DICunczvLuJJq414110A,,
54,,,,,,Anshuman Sharma,6,https://www.youtube.com/channel/UCBqvATpjSubtNxpqUDj4_cA,,
55,,,,,,Ed Sheeran,6,https://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,,
56,,,,,,Narasimhamurthy K. C. [VU3DWF],6,https://www.youtube.com/channel/UC3QOANfu8b9OeDRyUZnZM0w,,
57,,,,,,Motion - NV Sir,6,https://www.youtube.com/channel/UCVUjsfIErUfWI57ep1L7B6Q,,
