,title,publishedAt,categoryId,duration,licensedContent,viewCount,likeCount,commentCount,defaultAudioLanguage
0,Gulabi Sadi,2024-02-05 10:04:57,10,0:3:44,True,3711101,64268,643,N/A
1,Samjho Na,2022-02-09 16:16:39,10,0:2:53,True,7465705,72045,398,N/A
2,Ek Vari,2021-08-13 10:09:11,10,0:3:7,True,442761,5604,13,N/A
3,Mehroom,2021-06-15 15:23:33,10,0:3:6,True,282731,2590,40,N/A
4,Kho Gaye,2022-09-29 10:05:45,10,0:3:18,True,9619069,70557,0,N/A
5,Tum Ho Lofi Mix (Remix By Dj Yogii),2022-02-11 11:08:59,10,0:3:10,True,267986,1405,3,N/A
6,Jump,2024-03-21 10:01:51,10,0:2:28,True,1571694,38944,236,N/A
7,Espresso,2024-04-12 00:00:14,10,0:2:56,True,3400762,75174,568,N/A
8,What did I get myself into?🤘would you eat one?!😝 #cake #isitcake #shorts #art #chocolate #realistic,2024-04-15 20:47:58,26,0:1:1,True,3255512,223688,579,en
9,When you have a dumb gf💀 #shorts #ytshorts #viral #trending #funny #comedy,2024-04-17 11:37:20,22,0:0:20,True,98740,6728,101,en
10,SIBLING WAR ⚡️⚡️ #relatablecontent,2024-04-19 05:55:25,22,0:0:17,True,2192196,82562,388,N/A
11,Glass tint balm #shorts,2024-04-17 14:26:26,26,0:0:8,True,38848,1519,13,en
12,A must have experience if you visit Jaipur.❤️✨🤍🪞🕊️  #jaipur #rajasthan #explorepage #explore,2024-04-08 10:20:26,22,0:0:16,False,7985544,342586,714,N/A
13,and then I got overwhelmed when I saw the total and put everything back 🥲🛍️😂 #shopwithme #sephora,2024-03-17 20:27:05,22,0:0:32,True,743428,46054,221,N/A
