,title,publishedAt,categoryId,duration,licensedContent,viewCount,likeCount,commentCount,defaultAudioLanguage
0,How to Use Google Takeout in 2023,2023-05-18 15:26:50,27,0:3:59,True,49730,N/A,N/A,en
1,Creating Virtual Environment With Different Python Version | Install Different Python  Using venv,2023-11-24 06:58:47,22,0:9:11,False,429,6,1,en
2,"a chaotic dubai vlog ♡ (choking, chatting, catcalling) ft. fashionnova",2024-04-09 17:18:47,22,0:19:20,True,41123,1847,116,en
3,"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",2015-05-19 19:41:51,10,0:3:20,True,1642057479,8641549,167496,N/A
4,"Beyoncé, Shakira - Beautiful Liar",2009-10-03 04:46:50,10,0:3:29,True,562779458,2878401,70070,N/A
5,Lady Gaga - Bad Romance (Lyrics),2023-05-06 21:00:08,22,0:5:9,False,5465467,34448,276,N/A
6,Fifth Harmony - Worth It (Official Video) ft. Kid Ink,2015-03-28 23:30:00,10,0:3:45,True,2259269846,11857107,338991,en
7,Camila Cabello - Havana (Audio) ft. Young Thug,2017-08-03 16:00:02,10,0:3:39,True,1993203586,10748186,432278,en
8,Doja Cat - Streets (Official Video),2021-03-09 05:00:12,10,0:4:34,True,303764030,3997548,101817,N/A
9,Ariana Grande - 7 rings (Official Video),2019-01-18 04:57:49,10,0:3:5,True,1383422159,15991791,732427,N/A
10,Ariana Grande - Side to Side - Sexy Bike Riding Version,2016-09-18 12:11:00,10,0:3:43,False,168344743,1187719,12614,en
11,Maroon 5 - Animals,2014-09-29 16:00:13,10,0:4:41,True,909291924,6382928,187545,en
12,Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAY-Z,2009-12-14 03:28:47,10,0:4:15,True,1019416480,5421507,162416,en
13,Rihanna - We Found Love ft. Calvin Harris,2011-10-20 04:00:00,10,0:4:36,True,1117176968,4966873,221658,en
